marka,model,il,yurus,muherrik,qiymet
Mercedes,E 300 de,2021,36000,2.0,80750
Mercedes,C 180,1997,420313,1.8,11600
Mercedes,G 500,2018,47000,4.0,303450
Hyundai,Elantra,2018,103000,1.6,25400
Kia,Rio,2007,368000,1.5,9500
Hyundai,Elantra,2015,136000,1.6,23900
BMW,X6,2009,136000,4.4,31000
Haval,H6,2021,48000,2.0,35900
Mercedes,E 270,2002,290432,2.7,13800
BMW,328,2014,92000,2.0,27500
Nissan,Note,2016,165000,1.2,13500
Skoda,Fabia,2013,245000,1.2,7500
Chevrolet,Cruze,2016,252000,1.4,14300
Nissan,Sunny,2012,337000,1.5,13600
Kia,Optima,2011,204000,2.4,18900
LADA,(VAZ) 2107,2000,255000,1.6,3800
BMW,530,2017,104000,2.0,45730
Mercedes,C 220,1995,228000,2.2,7200
LADA,(VAZ) 2107,2009,133000,1.6,7100
Mercedes,C 300,2017,145000,2.0,33830
BMW,523,1998,263000,2.5,7900
Jeep,Grand Cherokee,2014,164000,3.6,34900
Changan,Deepal S05,2024,0,1.5,38930
Nissan,X-Trail,2025,0,2.5,50830
Toyota,Fortuner,2005,288000,4.0,24900
Lexus,LX 600,2022,54500,3.3,202300
Changan,Uni-Z,2025,0,1.5,32600
BYD,Destroyer 05,2025,0,1.5,22800
Renault,Megane Scenic,2007,370000,1.5,6900
Hyundai,Elantra,2020,46500,2.0,25500
Mercedes,Vito,2010,190000,2.2,23000
Hyundai,Santa Fe,2008,205000,2.0,20900
Kia,Optima,2017,114260,2.0,25500
Abarth,595,2017,58555,1.4,25500
Renault,Megane,2009,250000,1.5,9200
Chevrolet,Cobalt,2023,120000,1.5,20000
Chevrolet,Aveo,2012,170000,1.4,11200
Toyota,Corolla,2014,324000,1.6,19500
Toyota,Corolla,2005,270000,1.4,13500
Changan,Uni-K,2022,54800,2.0,37900
BMW,330,2017,89000,2.0,33900
LADA,(VAZ) 2107,2010,593623,1.6,9200
JETOUR,X90 PLUS,2023,44000,1.6,37900
Honda,CR-V,2023,51000,2.0,57630
Changan,Uni-T,2022,9800,1.5,34900
Changan,CS 35 Plus,2022,14800,1.4,27900
Mercedes,GL 350 4MATIC,2013,329916,3.0,47000
Mercedes,V 250,2021,29700,2.2,272000
BYD,Seal 05,2025,0,1.5,23100
BMW,X5,2011,192000,4.4,37230
Toyota,Land Cruiser Prado,2008,174000,2.7,29900
LADA,(VAZ) 2107,2011,45000,1.6,6300
Kia,Sorento,2021,32000,1.6,59330
Porsche,Cayenne S,2011,189000,4.8,32900
Toyota,Prius,2008,459733,1.5,10500
Ford,Transit,2008,290000,2.4,15800
LADA,(VAZ) 2107,2001,35000,1.6,3000
BMW,330e,2022,37015,2.0,49130
Jeep,Grand Cherokee,2012,170000,3.6,23900
Kia,Optima,2016,99400,2.0,27700
BYD,Seal 05,2025,0,1.5,19890
Changan,Qiyuan Q07,2025,0,1.5,36990
Toyota,Prius,2008,344400,1.5,13300
Hyundai,Sonata,2021,138250,1.6,34950
Isuzu,NHR 55 E,2007,331000,2.8,8999
Opel,Astra,2013,250400,1.4,13000
Changan,Uni-Z,2025,0,1.5,33000
SEAT,Ibiza,2013,270000,1.6,11200
Toyota,Highlander,2025,0,2.5,101830
Toyota,Land Cruiser,2012,147000,4.0,47800
BMW,330e,2022,37015,2.0,49130
Hyundai,Santa Fe,2014,160000,2.4,30900
Iran,Khodro Samand,2007,350000,1.8,4500
Hyundai,Santa Fe,2018,102700,2.0,47700
Hyundai,Santa Fe,2015,204200,2.0,29700
LADA,(VAZ) Niva,2021,57124,1.7,16500
Hyundai,Elantra,2018,167372,2.0,20900
Mercedes,E 220,2014,316000,2.1,33000
Mercedes,E 240,2000,360000,2.4,13800
Mercedes,Vito 115 CDI,2007,211058,2.1,19900
Mercedes,Vito 110,2020,270000,1.8,42500
Mercedes,ML 350 4MATIC,2008,232000,3.5,15500
LADA,(VAZ) 2112,2005,222220,1.6,7700
LADA,(VAZ) 2107,2002,49337,1.6,4800
Mazda,3,2015,142000,1.5,16500
BMW,530e,2022,48000,2.0,81600
Land,Rover RR Evoque,2013,108000,2.0,29000
Kia,K3,2016,183000,1.6,23400
Toyota,Camry,2018,137000,3.5,52700
Mercedes,S 320,1999,195000,3.2,7300
Opel,Astra,2005,258478,1.4,7600
Daewoo,Nexia,2009,224000,1.5,5400
Chevrolet,Cruze,2015,281100,1.4,13313
LADA,(VAZ) 2106,1990,72250,1.6,2500
Mitsubishi,L200,2025,0,2.4,72250
Toyota,RAV4,2025,0,2.5,67660
Changan,Qiyuan A05,2025,0,1.5,26200
ROX,(Polar Stone) 01,2025,0,1.5,81005
Mercedes,E 280,2000,437770,2.8,12700
Changan,Uni-Z,2025,0,1.5,32800
Land,Rover Discovery,2012,228000,5.0,30000
Nissan,Sunny,2008,213000,1.6,11500
Ford,Tourneo Connect,2008,279642,1.8,12900
BMW,530e,2021,94000,2.0,59500
Changan,Qiyuan Q07,2025,0,1.5,42800
LADA,(VAZ) Niva,2021,40000,1.7,16900
LADA,(VAZ) 2106,1983,855555,1.6,2600
Mercedes,E 220,2011,410795,2.1,16800
Nissan,Note,2012,135000,1.5,11900
Changan,Uni-Z,2025,0,1.5,32900
Kia,Sorento,2016,106400,2.0,41000
Mercedes,E 220,1997,355000,2.2,8300
Kia,Sorento,2016,154000,2.0,39800
Nissan,Patrol,2014,150000,5.6,54000
Hyundai,Santa Fe,2013,172000,2.4,25900
Hyundai,Maxcruz,2015,170000,2.2,33900
Mercedes,CLA 250,2013,81200,2.0,27900
Toyota,Prius,2007,483000,1.5,12600
LADA,(VAZ) 2106,1986,200000,1.6,2850
Ford,Transit,2001,500000,2.4,17900
Mercedes,S 350,2006,256000,3.5,23999
Renault,Tondar,2013,166000,1.6,7700
Kia,Rio,2012,153000,1.4,17800
Mitsubishi,Pajero,2013,178005,3.5,29900
LADA,(VAZ) Niva,2017,128223,1.7,14450
Ford,Fusion (North America),2014,225000,1.5,16500
Mercedes,C 200,1997,555000,2.0,7800
Toyota,Camry,2021,43000,2.5,52000
Hyundai,Elantra,2016,150223,2.0,22900
Isuzu,NP 37,2010,500000,4.4,18000
Volkswagen,Multivan,2014,128000,2.0,35700
Toyota,Camry,2025,0,2.0,56950
Li,Auto L6,2025,0,1.5,72930
Land,Rover Discovery,2014,261000,3.0,30777
BMW,M4,2014,61900,3.0,91800
Lexus,ES 300h,2022,55000,2.5,62000
Mercedes,ML 350,2009,275000,3.5,19600
Toyota,Camry,2022,64500,2.5,55590
Isuzu,ELF,2025,0,2.5,99000
Hyundai,Accent,2012,150000,1.6,15800
BMW,528,2016,147000,2.0,34500
Kia,Optima,2013,237735,1.7,19900
BYD,Destroyer 05,2025,0,1.5,22400
Mercedes,S 320,1992,490000,3.2,6500
Ford,Fusion (North America),2017,107800,1.5,18500
Hyundai,Elantra,2017,102998,2.0,22800
Changan,Uni-V iDD,2024,0,1.5,29900
Changan,Qiyuan A05,2025,0,1.5,26500
Kia,Sorento,2010,246000,2.0,25700
Toyota,Prius V,2012,128000,1.8,21500
LADA,(VAZ) 2110,2010,60000,1.6,3900
Chevrolet,Malibu,2020,208000,1.5,19200
Toyota,Land Cruiser Prado,2008,212200,2.7,32000
LADA,(VAZ) 2107,2005,99000,1.6,4400
Mercedes,Sprinter 316,2010,740000,2.7,48500
Hyundai,Elantra,2018,145807,2.0,23500
Kia,Forte,2020,51600,2.0,28000
Mercedes,E 220,2001,358000,2.2,13500
Kia,Sorento,2017,185000,2.0,34500
LADA,(VAZ) Niva,2019,68000,1.7,15500
Opel,Vectra,1994,320550,2.0,3800
Mercedes,Vito 115 CDI,2007,650000,2.2,21000
BYD,Song Plus DM-İ,2025,0,1.5,43500
Kia,Optima,2019,87000,1.6,23300
LADA,(VAZ) 2114,2009,260000,1.6,6900
Changan,Qiyuan Q07,2025,0,1.5,42400
Nissan,Note,2018,55000,1.2,16800
Kia,Sorento,2016,158000,2.0,28500
Changan,Uni-Z,2025,0,1.5,34040
Kia,Carens,2013,214000,2.0,19900
Khazar,SD,2021,336000,1.7,9500
Changan,Eado,2017,200000,1.6,17000
Land,Rover Range Rover,2016,189000,3.0,54400
Changan,Qiyuan Q07,2025,0,1.5,44300
BMW,530,2021,49000,2.0,56100
Toyota,Land Cruiser,2001,165000,4.2,12700
Opel,Astra,2005,248663,1.3,9300
LADA,(VAZ) 2114,2009,260000,1.6,6900
Nissan,X-Trail,2009,225900,2.5,18000
Mercedes,190,1991,370000,2.0,6800
Chevrolet,Cruze,2013,286000,1.4,13850
Changan,Eado,2014,320000,1.6,11000
BMW,520,2020,120000,2.0,58990
Hyundai,ix35,2014,87000,2.0,27600
Land,Rover RR Velar,2018,43223,2.0,64430
Mercedes,C 200,1997,325000,2.0,9900
Mercedes,S 420,1991,441000,4.2,8600
BMW,X6,2008,204000,4.4,17500
Hyundai,Elantra,2019,127138,2.0,23700
Hyundai,Santa Fe,2008,441000,2.2,20900
Kia,Cadenza,2011,260000,3.5,17500
Ford,Transit,1997,400000,2.5,12500
Honda,Insight,2019,168000,1.5,23500
Chevrolet,Aveo,2014,149000,1.6,14500
LADA,(VAZ) 2106,1994,54896,1.6,5000
Chevrolet,Camaro,2014,130000,3.6,30900
Nissan,Kicks,2019,39000,1.6,27900
Land,Rover RR Sport,2018,109000,3.0,75990
Mercedes,C 230,1997,237067,2.3,11800
Kia,Sorento,2017,189000,2.0,34800
Toyota,Yaris Cross,2025,0,1.5,45220
Changan,Uni-Z,2025,0,1.5,29920
Mercedes,E 300 e,2024,9000,2.0,144500
BMW,528,2013,105000,2.0,36000
Porsche,Cayenne,2019,74300,3.0,92990
Lexus,RX 300,2021,51000,2.0,66500
Land,Rover Range Rover,2014,147117,3.0,50660
Nissan,Tiida,2012,84680,1.5,13900
BMW,X5,2017,88000,2.0,49900
Saipa,Saina,2020,50000,1.5,10000
Kia,Sorento,2016,153000,2.0,34200
Kia,Sorento,2017,189000,2.0,34800
Hyundai,Sonata,2022,27000,2.0,45900
Volvo,XC40,2019,82000,2.0,43690
Toyota,Corolla,2007,250000,1.6,10200
Mercedes,C 300,2018,51000,2.0,52530
Mercedes,E 240,1998,379000,2.4,10500
Honda,Civic,2016,83135,1.6,19500
Fiat,500L,2015,37000,1.4,22900
Hyundai,Accent,2008,62000,1.4,13000
Mercedes,GLC 300 4MATIC,2016,155000,2.0,41990
LADA,(VAZ) 2107,2005,452387,1.6,5200
Mercedes,E 220,2003,298741,2.2,13300
Mercedes,G 63 AMG,2015,86000,5.5,147730
Hyundai,Santa Fe,2010,269000,2.0,21600
BMW,X5,2019,93000,3.0,84830
Toyota,Prius,2007,212000,1.5,12300
GAZ,"24 ""Volga""",1978,222200,2.5,2800
Land,Rover RR Sport,2012,198000,3.0,38590
Toyota,Aqua,2019,50000,1.5,27828
BMW,430,2020,193121,2.0,38250
Hyundai,Veloster,2012,167000,1.6,18500
Chevrolet,Cruze,2015,148850,1.4,13500
Bestune,T77,2025,0,1.5,28600
Fiat,500,2023,0,1.2,34100
Changan,Qiyuan Q05,2025,0,1.5,24820
Land,Rover RR Evoque,2013,216767,2.0,19000
Volkswagen,Jetta,2012,198683,2.5,12400
LADA,(VAZ) 2107,2011,93000,1.6,10000
Kia,Forte,2021,93342,2.0,25900
Kia,Sportage,2013,148000,2.0,22800
MAN,TGA 18.440,2012,1130000,13,37000
Mercedes,S 350 d,2015,205000,3.0,68000
Ford,Fusion (North America),2016,205000,1.5,18700
LADA,(VAZ) Niva,2013,215800,1.7,12000
GAZ,"24 ""Volga""",1991,177440,2.5,4000
Hyundai,Elantra,2018,64000,2.0,23500
Opel,Vectra,1992,328000,2.0,4300
BMW,328,2014,146300,2.0,31000
Mercedes,E 200,2018,79000,2.0,52700
Nissan,Navara,2012,433000,2.5,21000
Mercedes,Vito,2008,350050,3.0,28500
Mitsubishi,Pajero,2007,402000,3.0,23500
Chrysler,Voyager,1994,170000,3.3,7200
Mercedes,190,1989,222222,2.0,5300
Kia,Sorento,2015,122975,2.0,32500
Honda,Insight,2009,235000,1.3,11900
Mercedes,E 220 d,2017,107000,2.2,52360
Ford,Fusion (North America),2018,183465,1.5,22500
Lexus,LS 460L,2007,245000,4.6,14960
Changan,Uni-Z,2025,0,1.5,33810
Lexus,GX 460,2010,159000,4.6,44200
BMW,X5,2016,176000,2.0,37500
Land,Rover RR Sport,2017,95000,3.0,57800
Jeep,Grand Cherokee,2014,236000,3.0,33500
Ford,Ranger,2016,75000,2.3,34500
Hyundai,Avante,2015,199000,1.6,21800
Mercedes,C 180,1998,450000,1.8,9300
Kia,K5,2016,195000,1.7,23700
Hyundai,Custin,2024,0,1.5,44900
Mitsubishi,L200,2025,0,2.4,72250
Li,Auto L9,2024,0,1.5,95000
Changan,CS 55 Plus,2025,0,1.5,23790
Toyota,Land Cruiser Prado,2003,317839,2.7,17800
Toyota,Land Cruiser Prado,2013,202000,2.7,47600
Mercedes,GLE 43 AMG 4MATIC Coupe,2019,57000,3.0,117300
Ford,Puma,2022,15000,1.0,15000
Land,Rover Discovery,2006,476000,2.7,11800
DAF,105 XF,2012,1009896,12,65000
Changan,Uni-Z,2025,0,1.5,33200
BMW,Z4,2004,198575,2.5,17900
Kia,K5,2016,195000,1.7,23700
Jeep,Grand Cherokee,2012,224242,3.6,23900
Mercedes,C 200,1993,327000,2.0,5800
Mercedes,Sprinter 316,2018,284000,2.7,69000
LADA,(VAZ) 2109,1999,151000,1.5,4500
Ford,Mustang,2016,89000,2.3,34500
Mercedes,C 180,1999,315422,1.8,9600
Toyota,Land Cruiser Prado,2007,154145,2.7,27900
Chevrolet,Niva,2015,195000,1.7,13500
GAZ,GAZel (33021),2001,801510,2.4,8200
LADA,(VAZ) 2115,2011,230000,1.6,7300
Hyundai,Santa Fe,2011,325550,2.0,21700
Nissan,Sunny,2006,450100,1.3,7000
Mercedes,C 180,1994,333330,1.8,6500
Nissan,Sunny,2008,292000,1.6,15300
Ford,Escape,2017,143232,1.5,19800
Opel,Astra,2005,195000,1.3,8500
LADA,(VAZ) Niva,1992,300000,1.6,5900
Kia,Optima,2017,288073,2.0,25000
Lexus,RX 350,2007,262538,3.5,15500
LADA,(VAZ) 2107,2005,442530,1.6,4500
Mercedes,E 200,1999,330000,2.0,13500
Chevrolet,Camaro,2016,133000,2.0,27500
Changan,Uni-V iDD,2025,0,1.5,29990
Suzuki,GSX-R 750,2023,3000,8003,25500
Kia,Ceed,2025,0,1.6,33900
Hyundai,Grandeur,2023,22000,1.6,65800
Mazda,6,2013,180000,2.5,17900
Lexus,IS 300,2022,43000,2.0,59500
Mercedes,E 220 d,2016,178200,2.0,45000
Ford,Fusion (North America),2019,190000,1.5,20900
Mercedes,C 200,2000,275000,2.0,10200
Nissan,Sunny,2010,234000,1.6,12200
Nissan,Sentra,2020,47333,2.0,33900
Chrysler,300C,2005,337000,3.5,11500
Mazda,3,2014,240000,1.5,17500
Kia,Sorento,2016,150000,2.0,29500
Changan,CS 35,2013,166000,1.6,14300
Land,Rover Range Rover,2011,129026,5.0,35700
TVS,Raider,2022,28000,1253,2500
LADA,(VAZ) 2106,1989,453800,1.6,2250
Kia,Sorento,2024,0,2.2,80900
Chevrolet,Equinox,2018,102600,1.5,21700
Subaru,XV,2022,0,2.0,47430
Lynk,& Co 08,2025,0,1.5,58900
Changan,Alsvin,2024,0,1.5,23900
BYD,Destroyer 05,2024,16000,1.5,11600
Hyundai,Elantra,2022,42265,1.6,35500
Toyota,Frontlander,2025,0,2.0,38200
Hyundai,Elantra,2015,153800,1.8,19900
Changan,Qiyuan Q05,2025,0,1.5,29200
Volkswagen,Passat,2005,336000,2.0,7200
Iveco,35 S11,2011,153015,2.3,29850
Kia,Sportage,2017,225000,1.7,25900
KAIYI,X7,2024,18000,1.6,28000
LADA,(VAZ) 2107,2010,215000,1.6,7300
Hyundai,Tucson,2023,58800,1.6,42500
Changan,Deepal S7,2025,0,1.5,44030
Changan,CS 55 Plus,2025,0,1.5,26800
Changan,CS 55 Plus,2025,0,1.5,30123
Mitsubishi,Outlander Sport,2025,0,1.5,43350
Land,Rover Range Rover,2015,180000,3.0,57630
Opel,Astra,2005,248663,1.3,9300
Hyundai,Elantra,2016,241402,2.0,22800
Changan,Deepal S7,2025,6500,1.5,38000
Mercedes,Sprinter 315,2008,260000,2.2,28000
Changan,Qiyuan A05,2025,0,1.5,26700
Kia,Sorento,2018,188310,2.0,39500
Hyundai,Elantra,2017,90500,2.0,21900
Kia,Optima,2012,156987,2.0,19500
Fiat,Doblo,2002,299300,1.9,6300
Toyota,Frontlander,2025,0,2.0,37600
Mercedes,C 200,1995,421572,2.0,5400
Changan,Qiyuan A05,2025,0,1.5,26200
BYD,Seal 05,2025,0,1.5,22200
Bestune,T77,2021,73800,1.5,25000
LADA,(VAZ) 2106,1988,298000,1.5,1800
Lexus,LX 570,2013,176135,5.7,57600
Mercedes,Sprinter 518,2007,198000,3.0,45500
Mercedes,Sprinter 515,2007,312000,2.2,41500
Volkswagen,Passat,2010,205700,2.0,11900
Nissan,Note,2012,142600,1.5,12500
Land,Rover Range Rover,2016,133000,3.0,73780
Baic,X7,2022,142000,1.5,31500
Toyota,Prius,2006,545088,1.5,8900
UAZ,3303,1989,54706,2.4,8200
Mercedes,GL 420 4MATIC,2008,188900,4.0,29900
Chevrolet,Aveo,2013,235000,1.6,9800
Hyundai,i40,2013,209800,1.7,21600
Toyota,RAV4,2004,420917,2.0,13500
Kia,Rio,2007,363660,1.5,8000
Lynk,& Co 09,2025,0,2.0,76900
Li,Auto L6,2025,0,1.5,74630
Changan,Uni-Z,2025,0,1.5,32600
Mercedes,S 400,2013,214000,3.0,55760
Mercedes,E 220 d,2019,89000,2.2,54230
Mitsubishi,Outlander,2015,182000,2.4,28000
Chevrolet,Malibu,2020,154000,1.5,19700
BMW,520,2017,170000,2.0,49300
Ford,Fusion (North America),2017,124895,1.5,18700
Changan,Uni-Z,2025,0,1.5,32200
Mercedes,S 420,1995,241000,4.2,50999
Tofas,Sahin,2002,180000,1.6,6500
Hyundai,Elantra,2012,167000,1.8,19300
Audi,Q7,2007,295000,3.0,19900
BMW,320,2001,320000,2.2,9000
Volkswagen,Touareg,2004,289000,3.2,9900
Volkswagen,Touareg,2008,187000,4.2,13800
Mercedes,ML 320 4MATIC,2006,287000,3.0,19900
LADA,(VAZ) 2107,2004,175000,1.5,3900
LADA,(VAZ) 2107,1992,100000,1.5,3550
GAZ,GAZel (33027),2000,250000,2.5,13700
Ravon,R4,2017,229856,1.5,10900
Baic,M60,2022,53600,1.5,21300
Volkswagen,Scirocco R,2009,66747,2.0,16500
Khazar,SD,2019,170000,1.7,10200
Ford,Tourneo Connect,2006,297000,1.8,14500
Mercedes,C 200,2000,300000,2.0,12600
Mitsubishi,Outlander,2007,126344,2.4,16000
Kia,Soul,2011,174000,1.6,14900
Chevrolet,Malibu,2018,187000,1.5,18500
Toyota,Aqua,2022,24315,1.5,23900
KamAz,55111,1989,500000,11,16000
Toyota,Avalon,2023,62000,2.5,52000
Land,Rover Discovery,2017,86000,3.0,62390
Hyundai,Sonata,2011,128000,2.0,13800
Hyundai,i30,2010,258000,1.4,9900
Changan,Deepal G318,2025,0,1.5,54900
Mercedes,E 220 d,2019,220000,2.0,37200
Jeep,Wrangler,2024,8000,2.0,72250
Land,Rover Range Rover,2015,180000,3.0,57630
Chevrolet,Aveo,2014,158330,1.4,13300
Audi,A6 allroad,2007,270000,3.1,13900
Chevrolet,Cobalt,2023,131000,1.5,19584
Toyota,Prius,2008,316000,1.5,10900
Land,Rover RR Sport,2007,455000,2.7,21800
BMW,640,2017,191200,3.0,42500
Hyundai,i30,2010,258000,1.4,9900
Hyundai,Elantra,2015,198000,1.6,17700
LADA,(VAZ) 2106,1980,39550,1.6,2800
Opel,Astra,2006,469000,1.3,11300
Ford,Transit,2015,323500,2.2,43000
LADA,(VAZ) 2107,2011,18000,1.6,5300
Mercedes,C 220,1996,465000,2.2,8300
Hyundai,Elantra,2014,188293,1.8,22500
Mercedes,E 200,2017,110000,2.0,53210
Audi,Q7,2006,195000,4.2,12800
Kia,Sorento,2019,94000,2.0,41900
Toyota,Highlander,2022,83926,2.5,72800
Mercedes,E 220,1996,324000,2.2,8500
Land,Rover Range Rover,2008,246000,4.2,24500
LADA,(VAZ) 2107,2011,72000,1.6,6000
Kia,Pegas,2025,0,1.4,27600
Chevrolet,Cruze,2013,167469,1.4,17500
Chevrolet,Cruze,2015,101568,1.4,13900
Ford,Fusion (North America),2019,107000,1.5,19400
Hyundai,ix35,2010,209632,2.4,20900
Opel,Astra,2006,239000,1.6,10700
Kia,Sportage,2012,208632,2.4,22800
Nissan,Latio,2013,98726,1.2,13000
Toyota,Corolla,2006,285000,1.4,12500
Ford,Tourneo Custom,2019,202000,2.5,29900
Changan,Qiyuan Q05,2025,0,1.5,24310
GAC,ES9,2024,0,2.0,70900
Toyota,Camry,2025,0,2.0,51680
Kia,Sorento,2015,165000,2.0,33900
Mercedes,C 230,1998,352000,2.3,10200
Ford,Fusion (North America),2019,60300,2.0,21900
BMW,525,2008,178000,2.5,24000
Chevrolet,Malibu,2019,133978,1.5,18900
Changan,Uni-Z,2025,0,1.5,32999
Mercedes,GL 350 4MATIC,2014,240000,3.0,52700
Lexus,ES 250,2022,20500,2.5,70040
Hyundai,Elantra,2019,62000,2.0,23500
Mercedes,Axor 1828,2007,700000,6.4,33000
Hyundai,Accent,2017,219131,1.6,22020
BMW,X5,2007,260000,4.8,24000
Lexus,ES 300h,2023,38000,2.5,65450
BMW,328,2016,175000,2.0,31700
Lexus,ES 300h,2024,19000,2.5,78880
Kia,K5,2017,240000,1.7,20300
KamAz,5511,1987,235000,11,22000
Daewoo,Gentra,2014,230000,1.5,10300
Mercedes,Atego 816,2017,185000,5.1,76000
Toyota,Avalon,2025,0,2.5,80750
Toyota,Corolla,2024,0,1.8,36000
Mercedes,C 250,2008,184000,2.5,20000
BMW,528,2015,241000,2.0,24800
Honda,Accord,2012,251000,2.4,16800
Kia,Optima,2011,207000,2.0,20900
Changan,Deepal S7,2025,0,1.5,43600
Kia,Sorento,2004,193121,3.5,12300
Nissan,Sunny,2014,289563,1.5,12700
BYD,Destroyer 05,2025,0,1.5,22900
LADA,(VAZ) 2107,2005,18000,1.6,4000
Hyundai,Sonata,2009,201000,2.4,15300
Mercedes,E 220,2007,346722,2.2,19000
Changan,Uni-Z,2025,0,1.5,31501
Land,Rover Range Rover,2024,0,4.4,488844
Changan,Qiyuan Q07,2025,0,1.5,39990
Wuling,Starlight,2025,0,1.5,28000
Honda,Accord,2019,104500,1.5,27700
Kia,K5,2023,400,1.6,38600
Changan,Uni-Z,2025,0,1.5,32650
Mercedes,E 220,2011,286980,2.1,19600
CFMOTO,700 CL-X Heritage,2023,2200,7003,8900
Land,Rover Range Rover,2015,81300,5.0,74798
Mercedes,GLC 300 4MATIC,2019,72865,2.0,64600
BMW,520,2019,129000,2.0,57500
Opel,Astra,1999,552482,1.8,7300
Kia,Ceed,2008,257000,2.0,14000
Mercedes,G 63 AMG,2015,155000,5.5,113050
Changan,Qiyuan Q07,2025,0,1.5,45300
Land,Rover RR Sport,2007,283000,2.7,26500
Mercedes,E 220,1999,262356,2.2,8500
Opel,Astra,2002,125661,1.6,6500
LADA,(VAZ) 2104,2001,158000,1.6,5500
Changan,Deepal S05,2024,0,1.5,34510
Hyundai,Grandeur,2020,155000,2.4,47900
LADA,(VAZ) 2107,2003,99000,1.6,6500
Toyota,Corolla,2005,237236,1.4,13000
Mercedes,C 240,1998,298000,2.4,12200
Mercedes,ML 350 4MATIC,2007,170000,3.5,21500
LADA,(VAZ) Niva,1992,300000,1.7,4200
Kia,Cerato,2012,419000,1.6,11500
Ford,Transit,2017,348000,2.0,24000
Toyota,Auris,2013,235000,1.4,17700
Porsche,Cayenne,2011,246000,3.6,34900
Hyundai,Sonata,2016,313822,2.0,19500
Toyota,Corolla,2006,128000,1.4,14500
Chevrolet,Malibu,2016,237500,1.5,18500
Toyota,Camry,2025,18000,2.5,54400
Mercedes,C 180,1999,500000,1.8,9800
Mercedes,V 250,2018,114000,2.0,91777
Toyota,Corolla Cross,2025,0,2.0,42160
Hyundai,Santa Fe,2016,156000,2.0,33800
BYD,Destroyer 05,2025,0,1.5,27000
Chevrolet,Trax,2025,1550,1.2,36300
Nissan,Navara,2024,0,2.5,57400
Hyundai,Accent,2016,66658,1.6,16800
Toyota,Prius,2008,316000,1.5,10900
BMW,530,2008,190000,3.0,20500
Mercedes,S 420,1995,241000,4.2,50999
Audi,A6 allroad,2007,270000,3.1,13900
Mercedes,GLA 250 4MATIC,2015,68000,2.0,39500
Mercedes,C 180,1999,500000,1.8,9800
Hyundai,i40,2014,214000,1.7,21000
Kia,Sportage,2020,49700,2.0,34500
Chevrolet,Cruze,2014,168000,1.4,13400
Hyundai,Elantra,2008,203000,2.0,13600
Honda,Civic,2007,366000,1.3,10600
LADA,(VAZ) 2107,2008,80000,1.6,8300
Nissan,Sunny,2011,224510,1.6,11900
Chevrolet,Equinox,2019,78700,1.5,22200
Mercedes,Vito,2008,500000,2.2,16500
Infiniti,Q30,2017,99000,1.6,28800
Chevrolet,Trax,2018,160000,1.8,23000
Chevrolet,Niva,2008,621686,1.7,6000
Hyundai,Elantra,2020,100000,2.0,29000
Tufan,M50,2024,8900,1003,1080
Opel,Astra,2011,284000,1.3,12900
Kia,Picanto,2012,117000,1.3,14900
JETOUR,T2,2025,0,1.5,59800
Kia,K3,2025,0,1.5,32500
Toyota,Highlander,2024,0,2.5,84830
Mercedes,C 250,2012,250000,1.8,24500
BMW,520,2018,79000,2.0,43000
Kia,Rio,2006,227600,1.5,10200
Mercedes,300 D,1991,900000,3.0,5700
Suzuki,GSX-S1000GT,2025,0,10003,36900
Dodge,Ram,2022,0,3.6,128500
GAZ,"3102 ""Volga""",1994,137,2.4,34000
JAC,LD1A2,2025,0,2.2,40900
Hyundai,Sonata,2016,124000,2.0,29200
Lexus,LX 570,2014,165000,5.7,74290
BMW,X5,2017,118500,2.0,42000
Toyota,Prius,2008,267000,1.5,11900
Hyundai,Sonata,2020,74995,2.0,31900
Toyota,Camry,2023,63500,2.5,53550
Ford,Mustang,2010,223699,4.0,21500
BMW,528,2015,256000,2.0,27000
Ford,Fusion (North America),2013,210000,1.6,16400
Hyundai,Avante,2016,168255,1.6,20500
Changan,Uni-Z,2025,1486,1.5,32800
Mercedes,E 250,2009,277000,2.1,21600
Nissan,Note,2016,42000,1.2,14600
Mercedes,B 200,2007,235680,2.0,11000
Hyundai,Santa Fe,2010,213000,3.5,22300
Toyota,Highlander,2025,0,2.5,94690
Mercedes,C 200,1997,600000,2.0,8500
Hyundai,Elantra,2022,54000,2.0,35800
Infiniti,FX37,2012,136000,3.7,29500
Volkswagen,Passat,2003,271532,1.8,5500
Ford,Transit,2001,335214,2.4,17500
Ravon,Nexia R3,2017,264123,1.5,11000
Mercedes,190,1991,270852,2.0,4500
Mercedes,E 220,2006,317000,2.2,19000
Mercedes,C 230,1999,352123,2.3,10500
Nissan,X-Trail,2014,105000,2.5,26000
Mercedes,GLA 200,2017,56000,1.6,37500
Hyundai,Elantra,2020,125000,2.0,22200
Hyundai,Elantra,2025,0,1.6,37900
Toyota,RAV4,2021,71000,2.0,46900
Kia,Niro,2025,1400,1.6,45350
Hyundai,Sonata,2024,0,2.5,51900
Geely,Monjaro,2025,0,1.5,51900
Mercedes,GLC 350 e 4MATIC+ Coupe,2024,0,2.0,164436
Toyota,Highlander,2025,0,2.5,84830
Hyundai,Elantra,2016,186904,2.0,22900
Mercedes,E 300,2017,68000,2.0,47500
Kia,Sorento,2018,188310,2.0,39500
Hyundai,Grandeur,2023,22000,1.6,65800
